nbhd_id,chittagong,comilla_south,comilla_north,naryanganj_east,narsingdi,dhamrai,bhaluka,gazipur_north,main,x_1,x_2,x_3,x_4,x_5,x_6,y_1,y_2,y_3,y_4,y_5,y_6,cent_long,cent_lat,strata_main,ineligible,main_sample,backup
1,1,0,0,0,0,0,0,0,0,91.80043,91.790741,91.785942,91.790833,91.800522,91.805321,22.233135,22.233185,22.24102,22.248806,22.248756,22.240921,91.795631,22.240973,-997,0,0,
2,1,0,0,0,0,0,0,0,0,91.81501,91.805321,91.800522,91.80542,91.815109,91.819908,22.240871,22.240921,22.248756,22.256542,22.256493,22.248657,91.810219,22.248707,-997,0,0,
3,1,0,0,0,0,0,0,0,0,91.786034,91.776344,91.771545,91.776436,91.786125,91.790924,22.256641,22.256691,22.264526,22.272312,22.272263,22.264427,91.781235,22.264477,-997,0,0,
4,1,0,0,0,0,0,0,0,0,91.800522,91.790833,91.786034,91.790924,91.800621,91.80542,22.248756,22.248806,22.256641,22.264427,22.264378,22.256542,91.795723,22.256594,-997,0,0,
5,1,0,0,0,0,0,0,0,0,91.815109,91.80542,91.800621,91.805511,91.815201,91.82,22.256493,22.256542,22.264378,22.272163,22.272114,22.264278,91.81031,22.264328,-997,0,0,
6,1,0,0,0,0,0,0,0,0,91.786125,91.776436,91.771637,91.776527,91.786217,91.791016,22.272263,22.272312,22.280148,22.287933,22.287886,22.28005,91.781326,22.2801,-997,0,0,
7,1,0,0,0,0,0,0,0,0,91.800621,91.790924,91.786125,91.791016,91.800713,91.805511,22.264378,22.264427,22.272263,22.28005,22.280001,22.272163,91.795822,22.272215,-997,0,0,
8,1,0,0,0,0,0,0,0,0,91.786217,91.776527,91.771721,91.776619,91.786308,91.791115,22.287886,22.287933,22.295769,22.303555,22.303507,22.295671,91.781418,22.295721,-997,0,0,
9,1,0,0,0,0,0,0,0,0,91.8153,91.805603,91.800804,91.805702,91.815392,91.82019,22.287735,22.287785,22.295622,22.303408,22.303356,22.295521,91.810501,22.295572,-997,0,0,
10,1,0,0,0,0,0,0,0,0,91.829788,91.820099,91.8153,91.82019,91.829887,91.834686,22.279848,22.2799,22.287735,22.295521,22.295469,22.287632,91.824989,22.287683,-997,0,0,
11,1,0,0,0,0,0,0,0,0,91.786308,91.776619,91.771812,91.776711,91.7864,91.791206,22.303507,22.303555,22.31139,22.319176,22.319128,22.311293,91.781509,22.311342,-997,0,0,
12,1,0,0,0,0,0,0,0,0,91.800804,91.791115,91.786308,91.791206,91.800896,91.805702,22.295622,22.295671,22.303507,22.311293,22.311243,22.303408,91.796005,22.303457,-997,0,0,
13,1,0,0,0,0,0,0,0,0,91.815392,91.805702,91.800896,91.805794,91.815491,91.82029,22.303356,22.303408,22.311243,22.319029,22.318977,22.311142,91.810593,22.311193,-997,1,0,
14,1,0,0,0,0,0,0,0,0,91.829887,91.82019,91.815392,91.82029,91.829979,91.834778,22.295469,22.295521,22.303356,22.311142,22.31109,22.303253,91.825089,22.303305,-997,0,0,
15,1,0,0,0,0,0,0,0,0,91.7864,91.776711,91.771904,91.776794,91.786491,91.791298,22.319128,22.319176,22.327011,22.334797,22.334749,22.326914,91.781601,22.326963,-997,0,0,9
16,1,0,0,0,0,0,0,0,0,91.800896,91.791206,91.7864,91.791298,91.800995,91.805794,22.311243,22.311293,22.319128,22.326914,22.326864,22.319029,91.796097,22.319078,-997,0,1,
17,1,0,0,0,0,0,0,0,0,91.815491,91.805794,91.800995,91.805885,91.815582,91.820381,22.318977,22.319029,22.326864,22.33465,22.334599,22.326763,91.810684,22.326815,-997,0,0,8
18,1,0,0,0,0,0,0,0,0,91.829979,91.82029,91.815491,91.820381,91.830078,91.834877,22.31109,22.311142,22.318977,22.326763,22.326712,22.318874,91.82518,22.318926,-997,1,0,
19,1,0,0,0,0,0,0,0,0,91.771904,91.762207,91.757408,91.762299,91.771996,91.776794,22.327011,22.327059,22.334894,22.34268,22.342632,22.334797,91.767105,22.334846,-997,0,0,
20,1,0,0,0,0,0,0,0,0,91.786491,91.776794,91.771996,91.776886,91.786583,91.791389,22.334749,22.334797,22.342632,22.350418,22.35037,22.342535,91.781693,22.342585,-997,0,0,
21,1,0,0,0,0,0,0,0,0,91.800995,91.791298,91.786491,91.791389,91.801086,91.805885,22.326864,22.326914,22.334749,22.342535,22.342485,22.33465,91.796188,22.3347,-997,0,0,
22,1,0,0,0,0,0,0,0,0,91.815582,91.805885,91.801086,91.805984,91.815681,91.82048,22.334599,22.33465,22.342485,22.350271,22.35022,22.342384,91.810783,22.342436,-997,0,1,
23,1,0,0,0,0,0,0,0,0,91.830078,91.820381,91.815582,91.82048,91.830177,91.834976,22.326712,22.326763,22.334599,22.342384,22.342333,22.334496,91.825279,22.334547,-997,0,0,
